Дата,Ваксина,Пол,Възрастова група,Брой заразени
2021/04/19,-,-,-,0
2021/04/20,COM,Жена,30 - 39,1
2021/04/20,COM,Жена,60 - 69,1
2021/04/20,COM,Жена,50 - 59,1
2021/04/20,COM,Мъж,50 - 59,2
2021/04/21,COM,Жена,50 - 59,1
2021/04/21,COM,Мъж,30 - 39,1
2021/04/21,COM,Мъж,40 - 49,1
2021/04/21,COM,Жена,40 - 49,1
2021/04/21,MOD,Мъж,80 - 89,1
2021/04/21,MOD,Мъж,20 - 29,1
2021/04/21,COM,Жена,60 - 69,1
2021/04/22,COM,Мъж,60 - 69,1
2021/04/22,COM,Жена,50 - 59,1
2021/04/22,COM,Мъж,70 - 79,1
2021/04/22,COM,Жена,40 - 49,1
2021/04/22,COM,Жена,30 - 39,1
2021/04/22,COM,Мъж,50 - 59,1
2021/04/23,COM,Жена,60 - 69,1
2021/04/23,COM,Жена,50 - 59,2
2021/04/23,COM,Жена,40 - 49,2
2021/04/23,COM,Мъж,60 - 69,1
2021/04/23,COM,Жена,30 - 39,1
2021/04/24,COM,Жена,50 - 59,2
2021/04/25,COM,Мъж,60 - 69,1
2021/04/25,COM,Жена,50 - 59,1
2021/04/25,MOD,Мъж,80 - 89,1
2021/04/26,COM,Мъж,40 - 49,1
2021/04/26,COM,Мъж,20 - 29,1
2021/04/26,COM,Жена,30 - 39,1
2021/04/26,COM,Мъж,60 - 69,3
2021/04/26,COM,Жена,60 - 69,1
2021/04/27,COM,Мъж,60 - 69,1
2021/04/27,COM,Жена,80 - 89,5
2021/04/27,COM,Жена,40 - 49,4
2021/04/27,COM,Жена,70 - 79,2
2021/04/27,COM,Мъж,70 - 79,2
2021/04/28,COM,Мъж,40 - 49,1
2021/04/28,COM,Жена,50 - 59,1
2021/04/28,COM,Жена,40 - 49,1
2021/04/29,COM,Жена,40 - 49,1
2021/04/29,COM,Мъж,20 - 29,1
2021/04/29,COM,Жена,60 - 69,1
2021/04/29,COM,Жена,50 - 59,2
2021/04/29,COM,Мъж,50 - 59,2
2021/04/29,AZ,Жена,20 - 29,1
2021/04/30,COM,Мъж,20 - 29,1
2021/05/01,COM,Мъж,60 - 69,2
2021/05/02,COM,Жена,50 - 59,2
2021/05/04,-,-,-,0
2021/05/04,MOD,Мъж,50 - 59,1
2021/05/05,COM,Жена,20 - 29,1
2021/05/05,COM,Мъж,40 - 49,1
2021/05/05,COM,Жена,60 - 69,1
2021/05/05,COM,Жена,50 - 59,3
2021/05/05,COM,Мъж,60 - 69,4
2021/05/06,COM,Жена,60 - 69,1
2021/05/06,MOD,Мъж,70 - 79,1
2021/05/07,COM,Жена,30 - 39,2
2021/05/07,COM,Мъж,60 - 69,1
2021/05/07,COM,Жена,40 - 49,1
2021/05/07,COM,Жена,50 - 59,1
2021/05/08,COM,Жена,50 - 59,1
2021/05/08,COM,Жена,40 - 49,1
2021/05/09,COM,Жена,60 - 69,1
2021/05/10,COM,Жена,70 - 79,2
2021/05/10,COM,Жена,50 - 59,2
2021/05/10,COM,Мъж,30 - 39,2
2021/05/10,COM,Мъж,60 - 69,2
2021/05/11,COM,Мъж,80 - 89,1
2021/05/11,COM,Мъж,60 - 69,1
2021/05/11,COM,Мъж,30 - 39,1
2021/05/12,COM,Жена,50 - 59,1
2021/05/12,COM,Мъж,50 - 59,1
2021/05/13,COM,Жена,40 - 49,1
2021/05/13,COM,Жена,70 - 79,1
2021/05/13,COM,Жена,80 - 89,1
2021/05/13,COM,Жена,60 - 69,1
2021/05/13,COM,Мъж,40 - 49,1
2021/05/14,COM,Жена,80 - 89,1
2021/05/14,COM,Жена,30 - 39,1
2021/05/14,AZ,Мъж,50 - 59,1
2021/05/14,COM,Жена,70 - 79,2
2021/05/14,COM,Жена,90+,1
2021/05/15,COM,Жена,40 - 49,1
2021/05/15,COM,Мъж,30 - 39,1
2021/05/16,COM,Мъж,50 - 59,1
2021/05/16,COM,Мъж,60 - 69,1
2021/05/17,COM,Жена,60 - 69,1
2021/05/17,COM,Жена,50 - 59,2
2021/05/17,AZ,Мъж,50 - 59,1
2021/05/17,COM,Мъж,60 - 69,2
2021/05/17,COM,Жена,20 - 29,1
2021/05/18,COM,Мъж,70 - 79,1
2021/05/18,COM,Мъж,40 - 49,1
2021/05/18,AZ,Мъж,40 - 49,1
2021/05/18,COM,Жена,50 - 59,1
2021/05/19,COM,Жена,40 - 49,1
2021/05/19,COM,Жена,60 - 69,2
2021/05/20,AZ,Мъж,70 - 79,1
2021/05/20,COM,Мъж,30 - 39,1
2021/05/20,COM,Мъж,70 - 79,2
2021/05/22,-,-,-,0
2021/05/23,-,-,-,0
2021/05/23,AZ,Мъж,70 - 79,1
2021/05/25,COM,Жена,20 - 29,1
2021/05/25,COM,Жена,60 - 69,1
2021/05/25,-,-,-,0
2021/05/25,AZ,Мъж,40 - 49,1
2021/05/26,MOD,Жена,70 - 79,1
2021/05/26,COM,Мъж,60 - 69,1
2021/05/26,AZ,Мъж,60 - 69,1
2021/05/26,COM,Жена,70 - 79,1
2021/05/26,COM,Жена,40 - 49,1
2021/05/27,COM,Жена,30 - 39,1
2021/05/27,AZ,Мъж,50 - 59,1
2021/05/27,COM,Мъж,60 - 69,2
2021/05/28,COM,Жена,60 - 69,1
2021/05/28,MOD,Жена,70 - 79,1
2021/05/28,AZ,Жена,40 - 49,1
2021/05/29,COM,Мъж,50 - 59,1
2021/05/29,MOD,Жена,90+,1
2021/05/29,AZ,Жена,30 - 39,1
2021/05/31,AZ,Жена,70 - 79,1
2021/05/31,MOD,Мъж,40 - 49,1
2021/05/31,-,-,-,0
2021/05/31,COM,Жена,40 - 49,1
2021/05/31,COM,Жена,50 - 59,1
2021/05/31,COM,Мъж,50 - 59,1
2021/06/01,AZ,Мъж,50 - 59,1
2021/06/01,AZ,Жена,80 - 89,1
2021/06/01,COM,Мъж,60 - 69,1
2021/06/01,AZ,Жена,60 - 69,1
2021/06/01,AZ,Мъж,60 - 69,1
2021/06/01,COM,Мъж,20 - 29,1
2021/06/01,COM,Жена,60 - 69,1
2021/06/02,AZ,Мъж,80 - 89,1
2021/06/02,AZ,Мъж,20 - 29,1
2021/06/02,COM,Жена,50 - 59,1
2021/06/03,COM,Жена,60 - 69,1
2021/06/03,AZ,Жена,60 - 69,1
2021/06/04,MOD,Жена,40 - 49,1
2021/06/04,MOD,Мъж,60 - 69,1
2021/06/04,AZ,Мъж,60 - 69,1
2021/06/05,COM,Жена,50 - 59,1
2021/06/06,COM,Жена,40 - 49,1
2021/06/06,COM,Мъж,50 - 59,1
2021/06/07,COM,Мъж,60 - 69,1
2021/06/07,COM,Жена,50 - 59,1
2021/06/07,AZ,Жена,40 - 49,1
2021/06/07,COM,Мъж,80 - 89,1
2021/06/07,MOD,Жена,80 - 89,1
2021/06/08,AZ,Жена,70 - 79,1
2021/06/08,COM,Жена,40 - 49,1
2021/06/08,MOD,Жена,30 - 39,1
2021/06/08,COM,Жена,30 - 39,1
2021/06/08,MOD,Жена,50 - 59,1
2021/06/09,AZ,Жена,50 - 59,1
2021/06/09,COM,Жена,30 - 39,1
2021/06/10,AZ,Жена,50 - 59,1
2021/06/11,AZ,Жена,90+,1
2021/06/11,MOD,Мъж,60 - 69,1
2021/06/12,COM,Мъж,70 - 79,1
2021/06/12,AZ,Мъж,80 - 89,1
2021/06/13,AZ,Мъж,60 - 69,1
2021/06/14,COM,Мъж,60 - 69,1
2021/06/14,AZ,Мъж,50 - 59,1
2021/06/14,COM,Жена,30 - 39,1
2021/06/14,COM,Жена,40 - 49,1
2021/06/14,COM,Мъж,80 - 89,1
2021/06/15,COM,Жена,70 - 79,1
2021/06/15,COM,Мъж,20 - 29,1
2021/06/16,COM,Мъж,70 - 79,1
2021/06/16,COM,Жена,30 - 39,1
2021/06/16,COM,Жена,70 - 79,2
2021/06/16,COM,Мъж,60 - 69,1
2021/06/16,COM,Мъж,30 - 39,1
2021/06/17,COM,Жена,50 - 59,1
2021/06/17,COM,Жена,60 - 69,1
2021/06/17,AZ,Жена,20 - 29,1
2021/06/19,-,-,-,0
2021/06/20,-,-,-,0
2021/06/20,COM,Мъж,40 - 49,1
2021/06/20,AZ,Жена,30 - 39,1
2021/06/20,AZ,Жена,40 - 49,1
2021/06/21,COM,Мъж,40 - 49,1
2021/06/21,COM,Мъж,60 - 69,1
2021/06/21,COM,Мъж,20 - 29,1
2021/06/22,COM,Жена,40 - 49,1
2021/06/22,AZ,Жена,70 - 79,1
2021/06/22,MOD,Жена,70 - 79,1
2021/06/22,AZ,Мъж,70 - 79,1
2021/06/22,AZ,Мъж,20 - 29,1
2021/06/23,MOD,Мъж,60 - 69,1
2021/06/23,COM,Мъж,80 - 89,1
2021/06/23,COM,Жена,40 - 49,1
2021/06/23,AZ,Мъж,50 - 59,1
2021/06/24,AZ,Мъж,40 - 49,1
2021/06/24,AZ,Мъж,50 - 59,1
2021/06/24,COM,Мъж,20 - 29,1
2021/06/25,AZ,Мъж,50 - 59,1
2021/06/25,COM,Мъж,80 - 89,1
2021/06/25,MOD,Жена,70 - 79,1
2021/06/25,COM,Мъж,20 - 29,1
2021/06/25,MOD,Жена,80 - 89,1
2021/06/27,-,-,-,0
2021/06/28,-,-,-,0
2021/06/28,AZ,Мъж,40 - 49,1
2021/06/28,COM,Жена,50 - 59,1
2021/06/28,JANSS,Жена,30 - 39,1
2021/06/28,MOD,Мъж,20 - 29,1
2021/06/28,MOD,Жена,50 - 59,1
2021/06/28,COM,Мъж,50 - 59,2
2021/06/28,COM,Мъж,70 - 79,1
2021/06/29,AZ,Мъж,50 - 59,1
2021/06/29,AZ,Жена,40 - 49,2
2021/06/29,AZ,Мъж,40 - 49,3
2021/06/30,COM,Жена,70 - 79,1
2021/06/30,AZ,Жена,60 - 69,1
2021/07/01,AZ,Мъж,60 - 69,1
2021/07/01,COM,Жена,50 - 59,1
2021/07/01,COM,Жена,40 - 49,1
2021/07/02,COM,Жена,40 - 49,1
2021/07/02,JANSS,Мъж,80 - 89,1
2021/07/02,AZ,Жена,70 - 79,1
2021/07/02,COM,Мъж,40 - 49,1
2021/07/02,COM,Жена,70 - 79,1
2021/07/02,AZ,Мъж,70 - 79,1
2021/07/03,MOD,Мъж,40 - 49,1
2021/07/04,AZ,Жена,70 - 79,1
2021/07/04,COM,Жена,80 - 89,1
2021/07/04,COM,Мъж,60 - 69,1
2021/07/05,COM,Жена,50 - 59,1
2021/07/05,COM,Жена,60 - 69,1
2021/07/05,COM,Жена,40 - 49,1
2021/07/06,AZ - COM,Жена,40 - 49,1
2021/07/06,COM,Мъж,40 - 49,1
2021/07/06,COM,Мъж,30 - 39,1
2021/07/07,AZ,Жена,30 - 39,1
2021/07/07,COM,Жена,40 - 49,1
2021/07/07,MOD,Жена,60 - 69,1
2021/07/07,MOD,Жена,50 - 59,1
2021/07/07,AZ,Мъж,60 - 69,1
2021/07/07,COM,Жена,60 - 69,1
2021/07/07,COM,Жена,70 - 79,1
2021/07/07,AZ,Мъж,70 - 79,1
2021/07/08,AZ,Мъж,60 - 69,1
2021/07/08,COM,Мъж,30 - 39,1
2021/07/08,MOD,Мъж,50 - 59,1
2021/07/09,AZ,Мъж,70 - 79,1
2021/07/10,AZ,Жена,60 - 69,1
2021/07/11,AZ,Жена,70 - 79,1
2021/07/12,COM,Мъж,30 - 39,1
2021/07/12,COM,Мъж,80 - 89,2
2021/07/12,COM,Жена,50 - 59,1
2021/07/13,AZ,Жена,60 - 69,1
2021/07/13,AZ,Мъж,40 - 49,1
2021/07/13,COM,Жена,80 - 89,1
2021/07/13,COM,Жена,50 - 59,1
2021/07/13,AZ,Жена,80 - 89,1
2021/07/14,MOD,Мъж,30 - 39,1
2021/07/14,COM,Мъж,70 - 79,1
2021/07/14,MOD,Мъж,50 - 59,1
2021/07/15,COM,Мъж,50 - 59,1
2021/07/16,COM,Жена,30 - 39,1
2021/07/16,COM,Жена,70 - 79,1
2021/07/16,AZ,Мъж,80 - 89,2
2021/07/16,COM,Мъж,60 - 69,1
2021/07/16,COM,Мъж,40 - 49,1
2021/07/18,-,-,-,0
2021/07/19,AZ,Мъж,60 - 69,1
2021/07/19,MOD,Мъж,50 - 59,1
2021/07/19,-,-,-,0
2021/07/19,COM,Жена,20 - 29,1
2021/07/19,COM,Жена,40 - 49,1
2021/07/20,AZ,Мъж,50 - 59,1
2021/07/20,AZ,Жена,70 - 79,2
2021/07/20,COM,Жена,70 - 79,1
2021/07/20,COM,Жена,60 - 69,1
2021/07/20,COM,Мъж,70 - 79,1
2021/07/20,JANSS,Мъж,50 - 59,2
2021/07/20,AZ,Жена,80 - 89,1
2021/07/20,COM,Жена,40 - 49,1
2021/07/21,JANSS,Жена,30 - 39,1
2021/07/21,JANSS,Мъж,50 - 59,1
2021/07/21,MOD,Жена,70 - 79,1
2021/07/21,MOD,Мъж,70 - 79,1
2021/07/22,COM,Мъж,30 - 39,1
2021/07/22,MOD,Мъж,80 - 89,1
2021/07/22,COM,Жена,80 - 89,1
2021/07/22,COM,Жена,50 - 59,1
2021/07/23,AZ,Мъж,40 - 49,1
2021/07/23,COM,Жена,70 - 79,2
2021/07/23,AZ,Мъж,20 - 29,1
2021/07/23,JANSS,Мъж,17 - 19,1
2021/07/23,AZ,Жена,50 - 59,1
2021/07/23,COM,Мъж,60 - 69,3
2021/07/23,COM,Жена,20 - 29,1
2021/07/24,JANSS,Жена,50 - 59,1
2021/07/24,MOD,Мъж,70 - 79,1
2021/07/25,MOD,Жена,60 - 69,1
2021/07/25,COM,Жена,50 - 59,1
2021/07/26,COM,Мъж,30 - 39,1
2021/07/26,AZ,Жена,40 - 49,1
2021/07/26,AZ,Мъж,40 - 49,1
2021/07/26,COM,Жена,50 - 59,2
2021/07/26,AZ,Жена,20 - 29,1
2021/07/26,AZ,Мъж,60 - 69,2
2021/07/26,COM,Жена,40 - 49,1
2021/07/26,AZ,Мъж,70 - 79,1
2021/07/26,COM,Мъж,40 - 49,1
2021/07/27,JANSS,Жена,20 - 29,1
2021/07/27,MOD,Мъж,20 - 29,1
2021/07/27,AZ,Мъж,70 - 79,2
2021/07/27,COM,Мъж,70 - 79,1
2021/07/27,AZ,Мъж,40 - 49,2
2021/07/27,COM,Мъж,50 - 59,1
2021/07/27,AZ,Жена,70 - 79,1
2021/07/27,COM,Жена,60 - 69,1
2021/07/27,JANSS,Мъж,50 - 59,1
2021/07/27,COM,Мъж,17 - 19,1
2021/07/27,JANSS,Жена,40 - 49,1
2021/07/27,COM,Жена,20 - 29,1
2021/07/27,JANSS,Жена,50 - 59,1
2021/07/27,AZ,Мъж,60 - 69,1
2021/07/27,MOD,Мъж,50 - 59,1
2021/07/27,COM,Мъж,40 - 49,1
2021/07/28,AZ,Мъж,60 - 69,1
2021/07/28,MOD,Жена,80 - 89,1
2021/07/28,COM,Жена,60 - 69,2
2021/07/28,MOD,Мъж,60 - 69,2
2021/07/28,COM,Жена,40 - 49,1
2021/07/28,COM,Мъж,30 - 39,1
2021/07/28,AZ,Жена,60 - 69,2
2021/07/28,COM,Жена,50 - 59,1
2021/07/28,COM,Мъж,17 - 19,2
2021/07/28,JANSS,Мъж,40 - 49,1
2021/07/28,MOD,Жена,40 - 49,1
2021/07/28,COM,Жена,30 - 39,1
2021/07/29,AZ,Жена,50 - 59,1
2021/07/29,COM,Жена,20 - 29,1
2021/07/29,COM,Жена,50 - 59,1
2021/07/29,COM,Жена,60 - 69,1
2021/07/29,JANSS,Мъж,30 - 39,1
2021/07/29,COM,Мъж,50 - 59,1
2021/07/29,COM,Жена,30 - 39,1
2021/07/29,AZ,Мъж,70 - 79,1
2021/07/29,COM,Жена,40 - 49,1
2021/07/29,AZ,Мъж,20 - 29,1
2021/07/30,COM,Жена,50 - 59,2
2021/07/30,AZ,Мъж,50 - 59,1
2021/07/30,AZ,Жена,60 - 69,1
2021/07/30,AZ,Жена,80 - 89,1
2021/07/30,COM,Жена,80 - 89,1
2021/07/30,COM,Жена,30 - 39,1
2021/07/30,COM,Мъж,40 - 49,2
2021/07/30,MOD,Мъж,17 - 19,1
2021/07/30,COM,Мъж,17 - 19,1
2021/07/30,JANSS,Жена,60 - 69,1
2021/07/30,COM,Жена,40 - 49,2
2021/07/30,COM,Мъж,80 - 89,1
2021/07/30,AZ,Мъж,70 - 79,1
2021/07/30,AZ,Мъж,80 - 89,1
2021/07/30,AZ,Мъж,60 - 69,2
2021/07/30,COM,Мъж,30 - 39,2
2021/07/30,COM,Жена,70 - 79,1
2021/07/30,COM,Мъж,50 - 59,1
2021/07/30,JANSS,Мъж,70 - 79,1
2021/07/30,JANSS,Мъж,60 - 69,1
2021/07/31,COM,Жена,40 - 49,1
2021/07/31,MOD,Мъж,70 - 79,1
2021/07/31,AZ,Мъж,30 - 39,1
2021/07/31,COM,Мъж,20 - 29,1
2021/07/31,COM,Мъж,70 - 79,1
2021/07/31,MOD,Жена,70 - 79,1
2021/07/31,AZ,Мъж,20 - 29,1
2021/07/31,AZ,Мъж,40 - 49,1
2021/07/31,JANSS,Мъж,60 - 69,1
2021/07/31,COM,Жена,60 - 69,1
2021/07/31,COM,Жена,50 - 59,1
2021/08/01,COM,Жена,40 - 49,1
2021/08/01,AZ,Мъж,20 - 29,1
2021/08/01,MOD,Жена,20 - 29,1
2021/08/01,COM,Мъж,40 - 49,1
2021/08/01,COM,Мъж,30 - 39,1
2021/08/01,AZ,Жена,40 - 49,1
